,Year,AMOC
282,990.0,3.1457179718779384
283,991.0,3.143565909956337
284,992.0,3.141452020664676
285,993.0,3.139335901620214
286,994.0,3.1371675508454016
287,995.0,3.1348937743450325
288,996.0,3.1324635097090368
289,997.0,3.129833549670408
290,998.0,3.126975727450571
291,999.0,3.123884461523613
292,1000.0,3.1205819941006427
293,1001.0,3.117119197569616
294,1002.0,3.11357200259448
295,1003.0,3.11003538993331
296,1004.0,3.106616665602931
297,1005.0,3.103427156982705
298,1006.0,3.1005687247984794
299,1007.0,3.0981143368573054
300,1008.0,3.0960904730919547
301,1009.0,3.0944711572032517
302,1010.0,3.093185011895725
303,1011.0,3.092129516331416
304,1012.0,3.0911875682268652
305,1013.0,3.090243765644008
306,1014.0,3.089198377301557
307,1015.0,3.087977601576052
308,1016.0,3.0865395729508607
309,1017.0,3.084875058478359
310,1018.0,3.083001837983274
311,1019.0,3.0809548559788182
312,1020.0,3.078778501777635
313,1021.0,3.076527275263939
314,1022.0,3.0742750696020322
315,1023.0,3.072122213053912
316,1024.0,3.0701844865570562
317,1025.0,3.0685649097355365
318,1026.0,3.0673330665840353
319,1027.0,3.066526065247252
320,1028.0,3.0661543464819343
321,1029.0,3.066204417145607
322,1030.0,3.06664171603845
323,1031.0,3.067422293271159
324,1032.0,3.0685124442986202
325,1033.0,3.069906382961116
326,1034.0,3.0716340636760258
327,1035.0,3.0737546589472506
328,1036.0,3.076333280421889
329,1037.0,3.0794057051501995
330,1038.0,3.0829486588536565
331,1039.0,3.08687638114499
332,1040.0,3.091066435233327
333,1041.0,3.0953986712678403
334,1042.0,3.0997919076271896
335,1043.0,3.1042293369012803
336,1044.0,3.1087583683680475
337,1045.0,3.1134642855819292
338,1046.0,3.1184374984866796
339,1047.0,3.123748166650007
340,1048.0,3.1294324590522757
341,1049.0,3.135490151509761
342,1050.0,3.141889797870284
343,1051.0,3.1485703465017907
344,1052.0,3.1554270785464675
345,1053.0,3.162284491973386
346,1054.0,3.168870538080723
347,1055.0,3.1748147827048436
348,1056.0,3.179697187890424
349,1057.0,3.1831653773982165
350,1058.0,3.1850855040159907
351,1059.0,3.185619296332341
352,1060.0,3.1851411881728913
353,1061.0,3.1840433823822645
354,1062.0,3.182565233983895
355,1063.0,3.180734420908944
356,1064.0,3.178412615815145
357,1065.0,3.1753937208323557
358,1066.0,3.1715026603687835
359,1067.0,3.1666580165766876
360,1068.0,3.1608891723754895
361,1069.0,3.1543229606123173
362,1070.0,3.1471565042736174
363,1071.0,3.1396250234516305
364,1072.0,3.1319751928367006
365,1073.0,3.1244447357799805
366,1074.0,3.1172317895304897
367,1075.0,3.110457059102777
368,1076.0,3.104144864466974
369,1077.0,3.098232745894629
370,1078.0,3.0925950756054057
371,1079.0,3.087068485993727
372,1080.0,3.081482568850739
373,1081.0,3.0757210675702304
374,1082.0,3.0698241148680983
375,1083.0,3.0640623458544494
376,1084.0,3.0588576864785364
377,1085.0,3.054543880258889
378,1086.0,3.051167828643527
379,1087.0,3.048504008650398
380,1088.0,3.0462170661328827
381,1089.0,3.044016589755279
382,1090.0,3.041732568932856
383,1091.0,3.03931620972861
384,1092.0,3.0367972516947237
385,1093.0,3.0342406448755916
386,1094.0,3.03172399467676
387,1095.0,3.0293270248710766
388,1096.0,3.0271285823352785
389,1097.0,3.0252116130448807
390,1098.0,3.023673493003615
391,1099.0,3.0226263719395123
392,1100.0,3.022166906986265
393,1101.0,3.022326756472551
394,1102.0,3.023036074085698
395,1103.0,3.024125058981272
396,1104.0,3.0253617974476033
397,1105.0,3.026503950880601
398,1106.0,3.0273424930563797
399,1107.0,3.0277305768321923
400,1108.0,3.027601609976418
401,1109.0,3.026977381433262
402,1110.0,3.0259616368773723
403,1111.0,3.024717535024976
404,1112.0,3.023432998936122
405,1113.0,3.0222820926954195
406,1114.0,3.0213939496155997
407,1115.0,3.0208405099640285
408,1116.0,3.0206455362781024
409,1117.0,3.020804257370947
410,1118.0,3.0212989441917117
411,1119.0,3.0221031217231222
412,1120.0,3.023178115585518
413,1121.0,3.024472163436079
414,1122.0,3.0259295024929966
415,1123.0,3.027504245900703
416,1124.0,3.029166454083807
417,1125.0,3.03089677433711
418,1126.0,3.0326774528175497
419,1127.0,3.034484727395072
420,1128.0,3.036282911048197
421,1129.0,3.0380256279846316
422,1130.0,3.0396695492036723
423,1131.0,3.041194664617139
424,1132.0,3.042618725930462
425,1133.0,3.04399980548777
426,1134.0,3.0454284125966864
427,1135.0,3.047012015282781
428,1136.0,3.04885430915144
429,1137.0,3.0510335065419283
430,1138.0,3.05358733453388
431,1139.0,3.0565121791246095
432,1140.0,3.0597769984900403
433,1141.0,3.0633435553519757
434,1142.0,3.067181921484873
435,1143.0,3.0712753108674202
436,1144.0,3.0756149676973497
437,1145.0,3.080189843136798
438,1146.0,3.0849766335511726
439,1147.0,3.0899340675534743
440,1148.0,3.095002389542581
441,1149.0,3.10010685219852
442,1150.0,3.105164245800835
443,1151.0,3.110092063868245
444,1152.0,3.114819391571468
445,1153.0,3.119297301423723
446,1154.0,3.1235048011403315
447,1155.0,3.1274468042381645
448,1156.0,3.131146978765072
449,1157.0,3.134640892550417
450,1158.0,3.137968705309479
451,1159.0,3.1411640274127937
452,1160.0,3.144242532681052
453,1161.0,3.1471999076891093
454,1162.0,3.1500206974669296
455,1163.0,3.152686472122431
456,1164.0,3.1551711621744705
457,1165.0,3.1574258055950772
458,1166.0,3.159366773299395
459,1167.0,3.1608784860037393
460,1168.0,3.1618319761339935
461,1169.0,3.162111482337129
462,1170.0,3.1616379190492503
463,1171.0,3.160381075419701
464,1172.0,3.1583582748930668
465,1173.0,3.155621493401936
466,1174.0,3.1522389973632423
467,1175.0,3.148279846660233
468,1176.0,3.143807955755055
469,1177.0,3.1388870707862275
470,1178.0,3.133591992426518
471,1179.0,3.128017707762654
472,1180.0,3.1222789674184264
473,1181.0,3.116498252456043
474,1182.0,3.1107876799008514
475,1183.0,3.1052345760068842
476,1184.0,3.0998969213565433
477,1185.0,3.094808160043185
478,1186.0,3.089986094083697
479,1187.0,3.0854400249769456
480,1188.0,3.0811736371959655
481,1189.0,3.077185086328854
482,1190.0,3.0734664582562603
483,1191.0,3.070003384985209
484,1192.0,3.0667749984064208
485,1193.0,3.0637550834194647
486,1194.0,3.0609155099157896
487,1195.0,3.0582315168323926
488,1196.0,3.0556868016649408
489,1197.0,3.0532764585954024
490,1198.0,3.051007195175101
491,1199.0,3.048895031087205
492,1200.0,3.0469609185954165
493,1201.0,3.0452253041058226
494,1202.0,3.043703502721343
495,1203.0,3.042404001349641
496,1204.0,3.0413305204882177
497,1205.0,3.0404858000912585
498,1206.0,3.0398742133899503
499,1207.0,3.0395023206978458
500,1208.0,3.0393787009750657
501,1209.0,3.0395139969661726
502,1210.0,3.0399193959651214
503,1211.0,3.0406024833628345
504,1212.0,3.04156367393803
505,1213.0,3.042795937811578
506,1214.0,3.044284506769605
507,1215.0,3.0460016040745397
508,1216.0,3.0478981871454547
509,1217.0,3.049900973706768
510,1218.0,3.0519201578125905
511,1219.0,3.0538647459473363
512,1220.0,3.055658525726579
513,1221.0,3.0572520306933244
514,1222.0,3.058629057193725
515,1223.0,3.0598071407816065
516,1224.0,3.060832088113376
517,1225.0,3.061767582791983
518,1226.0,3.0626820622480424
519,1227.0,3.0636363818816896
520,1228.0,3.06467561524721
521,1229.0,3.0658259894419246
522,1230.0,3.0670953281869333
523,1231.0,3.0684749211119837
524,1232.0,3.0699419747665804
525,1233.0,3.0714628601965077
526,1234.0,3.0729970664993944
527,1235.0,3.0745013978350593
528,1236.0,3.0759340004721647
529,1237.0,3.0772578732281453
530,1238.0,3.0784433122330523
531,1239.0,3.0794687360713704
532,1240.0,3.0803202503397826
533,1241.0,3.080991112296354
534,1242.0,3.081482001893537
535,1243.0,3.081802136490657
536,1244.0,3.08197128930844
537,1245.0,3.0820223431531852
538,1246.0,3.082002759647169
539,1247.0,3.0819719727535473
540,1248.0,3.0819925635304646
541,1249.0,3.0821178761278514
542,1250.0,3.0823826606721028
543,1251.0,3.082801579383796
544,1252.0,3.083374542151052
545,1253.0,3.084094424654069
546,1254.0,3.084954155100418
547,1255.0,3.0859524523220716
548,1256.0,3.087096931141118
549,1257.0,3.0884029521160103
550,1258.0,3.089888727790651
551,1259.0,3.091569412968992
552,1260.0,3.0934525059329867
553,1261.0,3.095535404413185
554,1262.0,3.097805274513516
555,1263.0,3.100241166006661
556,1264.0,3.1028175723108693
557,1265.0,3.105507327380265
558,1266.0,3.1082821357094224
559,1267.0,3.1111107990495737
560,1268.0,3.1139564724505253
561,1269.0,3.116774340342632
562,1270.0,3.1195109659559934
563,1271.0,3.122106456753707
564,1272.0,3.124499708147926
565,1273.0,3.1266355185305628
566,1274.0,3.1284713129649924
567,1275.0,3.129981539709941
568,1276.0,3.131159233538204
569,1277.0,3.132015688741624
570,1278.0,3.1325791449920097
571,1279.0,3.132892454461623
572,1280.0,3.1330092626294754
573,1281.0,3.1329888924344544
574,1282.0,3.1328908906892936
575,1283.0,3.132770279938337
576,1284.0,3.132674219309395
577,1285.0,3.1326405761004024
578,1286.0,3.132698320605481
579,1287.0,3.132868550602014
580,1288.0,3.133164745883283
581,1289.0,3.133591316523465
